Nom,Prenom,Score,Coeur,Question,Reponse,T/F,couleur
MILOU,TINTIN,0,3,3x4,12,true,v
MILOU,TINTIN,20,3,0x9,0,true,v
MILOU,TINTIN,40,3,2x4,8,true,v
MILOU,TINTIN,60,3,0x7,0,true,v
MILOU,TINTIN,80,3,9x1,9,true,v
MILOU,TINTIN,100,3,483/3,7,false,v
MILOU,TINTIN,100,2,144/8,15,false,v
MILOU,TINTIN,100,1,404/1,404,true,v
MILOU,TINTIN,125,1,50/5,10,true,v
MILOU,TINTIN,150,1,310/5,156,false,v
DUPON,DUPON,0,3,9x3,27,true,v
DUPON,DUPON,20,3,10x7,70,true,v
DUPON,DUPON,40,3,7x6,52,false,v
DUPON,DUPON,40,2,9x3,27,true,v
DUPON,DUPON,60,2,1x5,5,true,v
illies,maxime,0,3,207/23,9,true,v
illies,maxime,25,3,10/1,1,false,v
illies,maxime,25,2,42/42,1,true,v
illies,maxime,50,2,11/11,1,true,v
illies,maxime,75,2,16/1,16,true,v
illies,maxime,100,3,6x10,60,true,v
illies,maxime,120,3,10x8,80,true,v
illies,maxime,140,3,10x6,60,true,v
illies,maxime,160,3,4x3,12,true,v
illies,maxime,180,3,10x0,0,true,v
illies,maxime,200,3,76+27,103,true,v
illies,maxime,210,3,37+25,62,true,v
illies,maxime,220,3,72+55,137,false,v
illies,maxime,220,2,49+56,105,true,v
illies,maxime,230,2,15+13,28,true,v
illies,maxime,240,3,32-6,26,true,v
illies,maxime,255,3,72-2,70,true,v
illies,maxime,270,3,31-22,1,false,v
illies,maxime,270,2,100-47,53,true,v
illies,maxime,285,2,23-6,17,true,v
illies,maxime,300,3,13/1,1,false,v
illies,maxime,300,2,154/154,1,true,v
illies,maxime,325,2,65/1,1,false,v
illies,maxime,325,1,100/5,1,false,v
